;MotionId;Type;XVec;YVec;VecModule;Duration;Distance;AvrgSpeed;AvrgSize;XStart;YStart;XEnd;YEnd
1662;1662;DU;49.32623291015619;-558.8284606933594;561.0011815798755;250;592.9494363014117;2.3717977452056465;0.1764705926179886;509.2926635742188;918.2451171875;559.2233276367189;358.6822814941406
1663;1663;DU;47.93344116210949;-541.576904296875;543.6939930231232;230;569.4359107754717;2.475808307719442;0.15769231269756953;497.3092956542969;892.2654418945312;545.2427368164064;350.68853759765625
1664;1664;DU;29.95840454101574;-506.6042175292969;507.48925035030476;272;526.6290586804821;1.9361362451488313;0.16855204280684977;493.3148498535156;894.2638549804688;523.2732543945314;387.6596374511719
1665;1665;DU;61.50631713867199;-490.61529541015625;494.4556553811047;200;508.7999562860269;2.5439997814301343;0.16568047782549492;475.3398132324219;859.2911987304688;536.8461303710939;368.6759033203125
1666;1666;DU;36.94866943359375;-475.62841796875;477.06141758935917;174;490.9846792572771;2.8217510302142363;0.16346154361963272;487.32318115234375;860.2904052734375;524.2718505859375;384.6619873046875
1667;1667;DU;41.5355224609375;-512.9212036132812;514.6001950467956;184;535.9230416349033;2.9126252262766483;0.1656804783986165;499.3065185546875;874.2794799804688;541.248291015625;360.68072509765625
1668;1668;DU;26.809661865234375;-444.45788574218744;445.2657298375247;160;460.0958300326216;2.8755989377038853;0.16083916615356098;492.4691467285156;838.1128540039062;519.27880859375;393.6549682617188
1669;1669;DU;40.94314575195324;-478.6260986328125;480.37410783318916;194;495.81856699561274;2.555765809255736;0.16124260884064895;496.3106994628906;845.3021240234375;537.2538452148439;366.676025390625
1670;1670;DU;58.918182373046875;-526.588623046875;529.8744475218139;193;550.3717486793282;2.851667091602737;0.1775147972198633;501.3037414550781;869.2833862304688;560.221923828125;342.69476318359375
1671;1671;DU;85.64447021484375;-536.4291381835938;543.2229704005293;220;570.3574915415603;2.592534052461638;0.1744505534214633;502.3023681640625;857.292724609375;587.9468383789062;320.86358642578125
1672;1672;DU;31.955627441406364;-519.5940551757812;520.575781514264;228;539.5855259529454;2.3666031840041466;0.1705128252506256;499.3065185546875;894.2638549804688;531.2621459960939;374.6697998046875
1673;1673;DU;61.825500488281364;-523.1815795898438;526.8219412028608;203;544.2975220349573;2.6812685814529917;0.15384615843112653;491.317626953125;869.2833862304688;553.1431274414064;346.101806640625
1674;1674;DU;18.973663330078125;-486.61981201171875;486.98957005513336;272;503.83900802698133;1.8523492942168431;0.16063348948955536;492.31622314453125;876.2778930664062;511.2898864746094;389.6580810546875
1675;1675;DU;58.714538574218864;-537.573486328125;540.7704228625657;221;560.5492093982389;2.5364217619829814;0.16483516991138458;488.32177734375;878.2763671875;547.0363159179689;340.702880859375
1676;1676;DU;63.91122436523449;-532.5839233398438;536.404958962838;209;557.7165650007339;2.6685003110082963;0.16715976825127235;486.3245544433594;874.2794799804688;550.2357788085939;341.695556640625
1677;1677;DU;101.77920532226562;-557.3317565917969;566.5489330514442;263;599.4865306183113;2.279416466229321;0.18028846755623817;490.3190002441406;873.2802734375;592.0982055664062;315.9485168457031
1678;1678;DU;25.9639892578125;-562.5604858398438;563.1593282247403;235;578.7638045932392;2.4628247003967627;0.1538461595773697;529.264892578125;899.2599487304688;555.2288818359375;336.699462890625
1679;1679;DU;55.922332763671875;-557.5643920898438;560.3618104655668;276;594.9517597260144;2.1556223178478784;0.15918803960084915;507.2954406738281;895.2630615234375;563.2177734375;337.69866943359375
1680;1680;DU;47.933410644531364;-570.5542907714844;572.5642414382588;257;599.5395613891786;2.3328387602691776;0.16289593279361725;510.291259765625;897.2615356445312;558.2246704101564;326.7072448730469
1681;1681;DU;79.8890380859375;-594.5355224609375;599.8789426827685;256;636.5166881784033;2.486393313196888;0.1617647128946641;513.287109375;909.2521362304688;593.1761474609375;314.71661376953125
